episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
1,-161.653841,-161.653870,0.981000,2000,0.003873,2000,0,1,1,1,0,-106.653870,2000
2,-163.995789,-163.996216,0.962000,4000,0.003273,2000,0,1,1,1,0,-106.653870,4000
3,-138.882216,-138.881805,0.943000,6000,0.001964,2000,0,1,1,1,0,-83.881805,6000
4,-156.185640,-156.185364,0.924000,8000,0.001745,2000,0,1,1,1,0,-83.881805,8000
5,-124.618140,-124.617424,0.905000,10000,0.001853,2000,0,1,1,1,0,-69.617424,10000
6,-137.755967,-137.755402,0.886000,12000,0.001501,2000,0,1,1,1,0,-69.617424,12000
7,-173.922206,-173.922821,0.867000,14000,0.001366,2000,0,1,1,1,0,-69.617424,14000
8,-98.857877,-98.857796,0.848000,16000,0.001372,2000,0,1,1,1,0,-43.857796,16000
9,-159.840066,-159.840317,0.829000,18000,0.001557,2000,0,1,1,1,0,-43.857796,18000
10,-141.250563,-141.250198,0.810000,20000,0.001513,2000,0,1,1,1,0,-43.857796,20000
11,-132.756178,-132.755356,0.791000,22000,0.001380,2000,0,1,1,1,0,-43.857796,22000
12,-131.648295,-131.647644,0.772000,24000,0.001546,2000,0,1,1,1,0,-43.857796,24000
13,-144.973002,-144.972839,0.753000,26000,0.001616,2000,0,1,1,1,0,-43.857796,26000
14,-83.288261,-83.288155,0.734000,28000,0.001563,2000,0,3,1,1,0,-18.288155,28000
15,-147.892480,-147.892197,0.715000,30000,0.001357,2000,0,1,1,1,0,-18.288155,30000
16,-132.592995,-132.592270,0.696000,32000,0.001878,2000,0,1,1,1,0,-18.288155,32000
17,-148.866986,-148.866699,0.677000,34000,0.001495,2000,0,1,1,1,0,-18.288155,34000
18,-98.111563,-98.111435,0.658000,36000,0.001850,2000,0,3,1,1,0,-18.288155,36000
19,-140.917875,-140.917404,0.639000,38000,0.001731,2000,0,1,1,1,0,-18.288155,38000
20,-117.607768,-117.607155,0.620000,40000,0.002477,2000,0,2,1,1,0,-18.288155,40000
21,-145.766315,-145.765930,0.601000,42000,0.002307,2000,0,1,1,1,0,-18.288155,42000
22,-127.687743,-127.687035,0.582000,44000,0.002331,2000,0,3,1,1,0,-18.288155,44000
23,-128.186503,-128.185822,0.563000,46000,0.002666,2000,0,3,1,1,0,-18.288155,46000
24,-363.214949,-363.214844,0.544000,48000,0.002706,2000,195,3,1,1,0,-18.288155,48000
25,-126.927216,-126.926285,0.525000,50000,0.004745,2000,0,3,1,1,0,-18.288155,50000
26,-126.542823,-126.541763,0.506000,52000,0.005111,2000,0,3,1,1,0,-18.288155,52000
27,-125.473471,-125.472984,0.487000,54000,0.004950,2000,0,3,1,1,0,-18.288155,54000
28,-125.836815,-125.836166,0.468000,56000,0.005504,2000,0,3,1,1,0,-18.288155,56000
29,-105.359487,-105.359116,0.449000,58000,0.005209,2000,0,4,1,1,0,-18.288155,58000
30,-133.726398,-133.725937,0.430000,60000,0.005634,2000,0,3,1,1,0,-18.288155,60000
31,-131.694814,-131.693756,0.411000,62000,0.005356,2000,0,3,1,1,0,-18.288155,62000
32,-132.155794,-132.154846,0.392000,64000,0.004749,2000,0,3,1,1,0,-18.288155,64000
33,-535.273672,-535.272217,0.373000,66000,0.007449,2000,333,3,1,1,0,-18.288155,66000
34,-131.248560,-131.247803,0.354000,68000,0.009082,2000,0,3,1,1,0,-18.288155,68000
35,-594.645158,-594.649475,0.335000,70000,0.009647,2000,427,4,1,1,0,-18.288155,70000
36,-126.442032,-126.441246,0.316000,72000,0.009640,2000,0,3,1,1,0,-18.288155,72000
37,-124.831822,-124.831291,0.297000,74000,0.009460,2000,0,3,1,1,0,-18.288155,74000
38,-107.592043,-107.591301,0.278000,76000,0.007730,2000,0,4,1,1,0,-18.288155,76000
39,-136.302428,-136.301407,0.259000,78000,0.008166,2000,0,3,1,1,0,-18.288155,78000
40,-105.079168,-105.078445,0.240000,80000,0.009131,2000,0,4,1,1,0,-18.288155,80000
41,-131.439072,-131.439011,0.221000,82000,0.008190,2000,0,3,1,1,0,-18.288155,82000
42,-99.725606,-99.725151,0.202000,84000,0.007446,2000,0,4,1,1,0,-18.288155,84000
43,-133.179702,-133.178772,0.183000,86000,0.007970,2000,0,3,1,1,0,-18.288155,86000
44,-51.173982,-51.174370,0.164000,88000,0.008412,2000,0,4,1,1,0,18.825630,88000
45,-269.294336,-269.296844,0.145000,90000,0.008660,2000,134,4,1,1,0,18.825630,90000
46,-61.004641,-61.004650,0.126000,92000,0.009716,2000,0,4,1,1,0,18.825630,92000
47,-128.051655,-128.050659,0.107000,94000,0.008580,2000,0,3,1,1,0,18.825630,94000
48,-90.665957,-90.665977,0.088000,96000,0.010081,2000,0,4,1,1,0,18.825630,96000
49,40.649386,40.649414,0.069000,98000,0.009502,2000,0,4,1,1,0,110.649414,98000
50,-45.414542,-45.414646,0.050000,100000,0.010412,2000,0,4,1,1,0,110.649414,100000
51,-57.570239,-57.570290,0.050000,100000,0.010124,2000,0,4,1,1,0,110.649414,102000
52,-7.385978,-7.386102,0.050000,100000,0.010202,2000,0,4,1,1,0,110.649414,104000
53,-33.765768,-33.765869,0.050000,100000,0.010862,2000,0,4,1,1,0,110.649414,106000
54,-90.751130,-90.751114,0.050000,100000,0.010540,2000,0,4,1,1,0,110.649414,108000
55,-87.361398,-87.361023,0.050000,100000,0.013672,2000,0,1,1,1,0,110.649414,110000
