episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
1,0.081501,0.081506,0.999525,50,0.000000,50,0,0,0,1,0,0.081506,50
1,-147.340079,-147.339859,0.981000,2000,0.003117,2000,0,1,1,1,0,-92.339859,2000
2,-156.140033,-156.140228,0.962000,4000,0.002189,2000,0,1,1,1,0,-92.339859,4000
3,-147.560576,-147.560394,0.943000,6000,0.001783,2000,0,1,1,1,0,-92.339859,6000
4,-125.725840,-125.725166,0.924000,8000,0.001436,2000,0,1,1,1,0,-70.725166,8000
5,-119.593389,-119.592751,0.905000,10000,0.001789,2000,0,1,1,1,0,-64.592751,10000
6,-141.834722,-141.834137,0.886000,12000,0.001476,2000,0,1,1,1,0,-64.592751,12000
7,-91.725874,-91.725548,0.867000,14000,0.001970,2000,0,2,1,1,0,-31.725548,14000
8,-60.153372,-60.153580,0.848000,16000,0.001935,2000,0,3,1,1,0,4.846420,16000
9,-165.756934,-165.757065,0.829000,18000,0.002456,2000,0,1,1,1,0,4.846420,18000
10,-159.507759,-159.508362,0.810000,20000,0.001539,2000,0,1,1,1,0,4.846420,20000
11,-135.720972,-135.720337,0.791000,22000,0.001721,2000,0,1,1,1,0,4.846420,22000
12,-129.817185,-129.816589,0.772000,24000,0.001705,2000,0,1,1,1,0,4.846420,24000
13,-755.505294,-755.504700,0.753000,26000,0.006892,2000,503,1,1,1,0,4.846420,26000
14,-168.013555,-168.013855,0.734000,28000,0.009608,2000,0,1,1,1,0,4.846420,28000
15,-145.541915,-145.541870,0.715000,30000,0.007974,2000,0,1,1,1,0,4.846420,30000
16,-141.642924,-141.642319,0.696000,32000,0.006351,2000,0,1,1,1,0,4.846420,32000
17,-152.897788,-152.897888,0.677000,34000,0.005050,2000,0,1,1,1,0,4.846420,34000
18,-124.697704,-124.697205,0.658000,36000,0.004628,2000,0,2,1,1,0,4.846420,36000
19,-118.230553,-118.230064,0.639000,38000,0.004712,2000,0,1,1,1,0,4.846420,38000
20,-118.081537,-118.081245,0.620000,40000,0.004634,2000,0,3,1,1,0,4.846420,40000
21,-148.055488,-148.055222,0.601000,42000,0.004741,2000,0,1,1,1,0,4.846420,42000
22,-744.230576,-744.232117,0.582000,44000,0.007538,2000,511,3,1,1,0,4.846420,44000
23,-135.474992,-135.474426,0.563000,46000,0.009199,2000,0,3,1,1,0,4.846420,46000
24,-131.936103,-131.935165,0.544000,48000,0.007391,2000,0,3,1,1,0,4.846420,48000
25,-130.970540,-130.969666,0.525000,50000,0.006744,2000,0,3,1,1,0,4.846420,50000
26,-460.272500,-460.269470,0.506000,52000,0.007597,2000,252,1,1,1,0,4.846420,52000
27,-131.736704,-131.735764,0.487000,54000,0.008939,2000,0,3,1,1,0,4.846420,54000
28,-127.485550,-127.485191,0.468000,56000,0.009467,2000,0,3,1,1,0,4.846420,56000
29,-136.745221,-136.744583,0.449000,58000,0.009267,2000,0,3,1,1,0,4.846420,58000
30,-133.010423,-133.009628,0.430000,60000,0.009365,2000,0,0,0,1,0,4.846420,60000
31,-140.018718,-140.018509,0.411000,62000,0.009557,2000,0,2,1,1,0,4.846420,62000
32,-136.160476,-136.160187,0.392000,64000,0.011116,2000,0,2,1,1,0,4.846420,64000
33,-127.059039,-127.058823,0.373000,66000,0.010828,2000,0,1,1,1,0,4.846420,66000
34,-146.275157,-146.274689,0.354000,68000,0.012061,2000,0,1,1,1,0,4.846420,68000
35,-404.320972,-404.317047,0.335000,70000,0.012836,2000,205,1,1,1,0,4.846420,70000
36,-155.484067,-155.484238,0.316000,72000,0.012735,2000,0,1,1,1,0,4.846420,72000
37,-153.023852,-153.023697,0.297000,74000,0.012720,2000,0,1,1,1,0,4.846420,74000
38,-243.858744,-243.860504,0.278000,76000,0.015558,2000,86,3,1,1,0,4.846420,76000
39,-159.030877,-159.031006,0.259000,78000,0.014787,2000,0,1,1,1,0,4.846420,78000
40,-146.903371,-146.902817,0.240000,80000,0.014016,2000,0,1,1,1,0,4.846420,80000
41,-159.276250,-159.276276,0.221000,82000,0.014809,2000,0,1,1,1,0,4.846420,82000
42,-121.469632,-121.468513,0.202000,84000,0.015640,2000,0,1,1,1,0,4.846420,84000
43,-138.235220,-138.235199,0.183000,86000,0.015904,2000,0,2,1,1,0,4.846420,86000
44,-123.045461,-123.044151,0.164000,88000,0.017385,2000,0,2,1,1,0,4.846420,88000
45,-86.437535,-86.437317,0.145000,90000,0.019622,2000,0,2,1,1,0,4.846420,90000
46,-33.676339,-33.676456,0.126000,92000,0.023320,2000,0,3,1,1,0,31.323544,92000
47,-48.695690,-48.696011,0.107000,94000,0.027556,2000,0,3,1,1,0,31.323544,94000
48,-21.744505,-21.744635,0.088000,96000,0.023109,2000,0,3,1,1,0,43.255365,96000
49,-170.088809,-170.089233,0.069000,98000,0.025050,2000,0,1,1,1,0,43.255365,98000
50,-6.728362,-6.728449,0.050000,100000,0.021889,2000,0,3,1,1,0,58.271551,100000
51,-167.317516,-167.317169,0.050000,100000,0.025300,2000,0,0,0,1,0,58.271551,102000
52,-35.781823,-35.782055,0.050000,100000,0.023933,2000,0,0,0,1,0,58.271551,104000
53,-35.376212,-35.376488,0.050000,100000,0.030130,2000,0,0,0,1,0,58.271551,106000
54,-67.883818,-67.883942,0.050000,100000,0.024030,2000,0,0,0,1,0,58.271551,108000
55,-4.346445,-4.346508,0.050000,100000,0.025670,2000,0,3,1,1,0,60.653492,110000
56,-22.430066,-22.430199,0.050000,100000,0.026710,2000,0,1,1,1,0,60.653492,112000
57,5.185375,5.185298,0.050000,100000,0.027610,2000,0,3,1,1,0,70.185298,114000
58,2.782286,2.782247,0.050000,100000,0.026627,2000,0,3,1,1,0,70.185298,116000
59,-24.519159,-24.519211,0.050000,100000,0.024024,2000,0,0,0,1,0,70.185298,118000
60,12.284372,12.284289,0.050000,100000,0.028074,2000,0,4,1,1,0,82.284289,120000
61,11.247562,11.247354,0.050000,100000,0.026283,2000,0,5,1,1,0,86.247354,122000
62,-47.322894,-47.323227,0.050000,100000,0.025465,2000,1,3,1,1,0,86.247354,124000
63,2.100775,2.100700,0.050000,100000,0.025284,2000,0,3,1,1,0,86.247354,126000
64,7.417267,7.417235,0.050000,100000,0.023090,2000,0,3,1,1,0,86.247354,128000
65,-122.773866,-122.772621,0.050000,100000,0.025878,2000,1,2,1,1,0,86.247354,130000
66,-2.221673,-2.221764,0.050000,100000,0.025642,2000,0,3,1,1,0,86.247354,132000
67,-23.401303,-23.401394,0.050000,100000,0.023127,2000,0,0,0,1,0,86.247354,134000
68,-4.747917,-4.748034,0.050000,100000,0.024298,2000,0,3,1,1,0,86.247354,136000
69,0.718368,0.718236,0.050000,100000,0.024101,2000,0,3,1,1,0,86.247354,138000
70,-45.212881,-45.212990,0.050000,100000,0.026288,2000,0,2,1,1,0,86.247354,140000
71,53.755278,53.755325,0.050000,100000,0.025182,2000,0,7,1,1,0,138.755325,142000
72,-2.778664,-2.778751,0.050000,100000,0.026143,2000,0,3,1,1,0,138.755325,144000
73,5.656337,5.656173,0.050000,100000,0.024097,2000,0,3,1,1,0,138.755325,146000
74,27.986090,27.986069,0.050000,100000,0.024298,2000,0,5,1,1,0,138.755325,148000
75,27.970518,27.970526,0.050000,100000,0.023257,2000,0,5,1,1,0,138.755325,150000
76,-19.988452,-19.988567,0.050000,100000,0.023408,2000,0,2,1,1,0,138.755325,152000
77,3.988904,3.988860,0.050000,100000,0.022439,2000,0,3,1,1,0,138.755325,154000
